Tweet Text,Tweet Length,Year,Month,Day,Hour,Day of week,Is reply,User mentions,Hashtags,Pictures,Videos,Favorites,Retweets
,60,2023,9,13,21,2,0,1,0,0,0,0,0
,140,2023,9,9,5,5,0,1,0,0,0,0,0
,199,2023,9,9,2,5,0,0,0,0,0,1,0
,60,2023,9,8,11,4,0,0,1,0,0,0,0
,140,2023,9,8,4,4,0,1,0,0,0,0,0
,45,2023,9,8,1,4,0,0,1,0,0,0,0
,34,2023,9,6,12,2,0,0,1,0,0,2,0
,66,2023,9,5,21,1,0,0,0,0,0,2,0
,140,2023,9,5,19,1,0,1,0,0,0,0,0
,37,2023,9,5,11,1,0,0,1,0,0,1,0
,190,2023,9,5,4,1,1,1,0,0,0,2,0
,115,2023,9,5,2,1,0,0,0,0,0,7,0
,123,2023,9,4,11,0,0,0,1,0,0,0,0
,51,2023,9,3,12,6,1,0,0,0,0,1,0
,280,2023,9,3,12,6,0,0,1,0,0,2,0
,44,2023,9,2,18,5,1,1,0,0,0,0,0
,23,2023,9,2,1,5,0,0,0,1,0,5,0
,58,2023,9,1,1,4,0,1,0,0,0,0,0
,48,2023,8,29,22,1,0,0,0,1,0,4,0
,21,2023,8,29,22,1,1,1,0,0,0,0,0
,43,2023,8,29,21,1,0,1,0,0,1,0,0
,187,2023,8,29,21,1,1,0,0,0,0,0,0
,37,2023,8,29,21,1,0,0,0,0,0,3,0
,150,2023,8,28,20,0,1,1,0,0,0,2,0
,135,2023,8,28,6,0,0,1,0,0,0,0,0
,62,2023,8,26,8,5,0,0,0,1,0,5,0
,100,2023,8,25,11,4,0,1,2,0,0,0,0
,63,2023,8,23,2,2,0,0,0,0,0,4,1
,143,2023,8,21,21,0,0,1,0,0,0,0,0
,268,2023,8,20,0,6,1,1,0,0,0,1,0
,201,2023,8,19,23,5,1,0,0,1,0,2,0
,256,2023,8,19,23,5,0,0,0,0,0,3,0
,44,2023,8,19,18,5,0,1,0,1,0,0,0
,140,2023,8,16,14,2,0,1,0,0,0,0,0
,140,2023,8,16,2,2,0,2,0,0,0,0,0
,100,2023,8,15,23,1,1,1,0,1,0,1,0
,228,2023,8,15,23,1,1,1,0,0,0,0,0
,74,2023,8,15,18,1,0,1,0,1,0,0,0
,19,2023,8,14,7,0,1,1,0,0,0,0,0
,291,2023,5,9,21,1,1,1,0,0,0,1,0
,12,2023,5,9,18,1,1,1,0,0,0,1,0
,312,2023,5,9,7,1,1,1,0,1,0,1,0
,313,2023,5,8,22,0,1,1,0,1,0,1,0
,173,2023,5,8,22,0,1,1,0,2,0,1,0
,292,2023,5,8,21,0,1,1,0,0,0,1,0
,117,2023,5,8,19,0,1,2,0,0,0,4,0
,214,2023,5,6,0,5,0,0,0,0,0,5,0
,39,2023,5,5,21,4,0,1,0,1,0,0,0
,39,2023,5,5,17,4,1,1,0,0,0,1,0
,100,2023,5,5,4,4,1,1,0,0,0,3,0
,12,2023,5,4,14,3,0,0,0,0,0,2,0
